;;;;;;;;;;;;;;;;;;;;;;;;;;Categorias;;;;;;;;;;;
Controle de Estoque Prima Facie;;;;;;;;;;;;;;;;;;;;;;;;;;Anéis;;;;;;;;;;;
Dados do Produto;;;;;;;;;;Simulação (Projeção);;;;;;;;;;;;;;;;Brincos;;;;;;;;;;;
SKU;Categoria;Material 1;Quantidade 1; Custo M1 ; Venda M1 ;Material 2;Quantidade 2; Custo M2 ; Venda M2 ; Mão de Obra ; Custo Total ;Margem; Preço Venda ; Preço c/ desconto ;;;;;;;;;;;;Pingente;;;;;;;;;;;
93;Anéis;Prata Artesanal;14; R$ 112,00 ; R$ 336,00 ;Pedra da Lua;9; R$ 15,12 ; R$ 60,48 ; R$ 90,00 ; R$ 217,12 ;-95,00%; R$ 486,48 ; R$ 948,64 ;;;;;;;;;;;;;;;;;;;;;;;
94;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Variadas B;12; R$ 336,00 ; R$ 1.008,00 ; R$ 90,00 ; R$ 482,00 ;40,00%; R$ 1.266,00 ; R$ 759,60 ;;;;;;;;;;;;;;;;;;;;;;;
95;Anéis;Prata Artesanal;9; R$ 72,00 ; R$ 216,00 ;turmalina verde C;5; R$ 224,00 ; R$ 672,00 ; R$ 90,00 ; R$ 386,00 ;; R$ 978,00 ; R$ 978,00 ;;;;;;;;;;;;;;;;;;;;;;;
96;Anéis;Prata Artesanal;7,2; R$ 57,60 ; R$ 172,80 ;Granada A;3; R$ 168,00 ; R$ 336,00 ; R$ 90,00 ; R$ 315,60 ;-31,00%; R$ 598,80 ; R$ 784,43 ;;;;;;;;;;;;;;;;;;;;;;;
97;Anéis;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Onix;4; R$ 4,48 ; R$ 22,40 ; R$ 90,00 ; R$ 134,48 ;-49,00%; R$ 232,40 ; R$ 346,28 ;;;;;;;;;;;;;;;;;;;;;;;
98;Anéis;Prata Artesanal;11; R$ 88,00 ; R$ 264,00 ;Onix;5; R$ 5,60 ; R$ 28,00 ; R$ 120,00 ; R$ 213,60 ;-100,00%; R$ 412,00 ; R$ 824,00 ;;;;;;;;;;;;;;;;;;;;;;;
99;Anéis;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Variadas A;6; R$ 67,20 ; R$ 201,60 ; R$ 90,00 ; R$ 205,20 ;-12,00%; R$ 435,60 ; R$ 487,87 ;;;;;;;;;;;;;;;;;;;;;;;
100;Anéis;Prata Artesanal;7,3; R$ 58,40 ; R$ 175,20 ;Variadas B;6,5; R$ 182,00 ; R$ 546,00 ; R$ 90,00 ; R$ 330,40 ;; R$ 811,20 ; R$ 811,20 ;;;;;;;;;;;;;;;;;;;;;;;
101;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Variadas A;6; R$ 67,20 ; R$ 201,60 ; R$ 90,00 ; R$ 221,20 ;-48,00%; R$ 483,60 ; R$ 715,73 ;;;;;;;;;;;;;;;;;;;;;;;
102;Anéis;Prata Artesanal;11,5; R$ 92,00 ; R$ 276,00 ;Variadas B;6; R$ 168,00 ; R$ 504,00 ; R$ 90,00 ; R$ 350,00 ;18,00%; R$ 870,00 ; R$ 713,40 ;;;;;;;;;;;;;;;;;;;;;;;
103;Anéis;Prata Artesanal;9; R$ 72,00 ; R$ 216,00 ;Variadas A;15; R$ 168,00 ; R$ 504,00 ; R$ 90,00 ; R$ 330,00 ;7,00%; R$ 810,00 ; R$ 753,30 ;;;;;;;;;;;;;;;;;;;;;;;
104;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Variadas A;10; R$ 112,00 ; R$ 336,00 ; R$ 90,00 ; R$ 266,00 ;-34,00%; R$ 618,00 ; R$ 828,12 ;;;;;;;;;;;;;;;;;;;;;;;
105;Anéis;Prata Artesanal;9; R$ 72,00 ; R$ 216,00 ;Variadas A;12; R$ 134,40 ; R$ 403,20 ; R$ 90,00 ; R$ 296,40 ;-7,00%; R$ 709,20 ; R$ 758,84 ;;;;;;;;;;;;;;;;;;;;;;;
106;Anéis;Prata Artesanal;9; R$ 72,00 ; R$ 216,00 ;Variadas A;10; R$ 112,00 ; R$ 336,00 ; R$ 90,00 ; R$ 274,00 ;-18,00%; R$ 642,00 ; R$ 757,56 ;;;;;;;;;;;;;;;;;;;;;;;
107;Anéis;Prata Artesanal;8,5; R$ 68,00 ; R$ 204,00 ;Variadas A;7; R$ 78,40 ; R$ 235,20 ; R$ 90,00 ; R$ 236,40 ;-24,00%; R$ 529,20 ; R$ 656,21 ;;;;;;;;;;;;;;;;;;;;;;;
108;Anéis;Prata Artesanal;9; R$ 72,00 ; R$ 216,00 ;Variadas A;11; R$ 123,20 ; R$ 369,60 ; R$ 90,00 ; R$ 285,20 ;; R$ 675,60 ; R$ 675,60 ;;;;;;;;;;;;;;;;;;;;;;;
109;Anéis;Prata Artesanal;4; R$ 32,00 ; R$ 96,00 ;Granada A;4; R$ 224,00 ; R$ 448,00 ; R$ 90,00 ; R$ 346,00 ;27,00%; R$ 634,00 ; R$ 462,82 ;;;;;;;;;;;;;;;;;;;;;;;
110;Anéis;Prata Artesanal;8,7; R$ 69,60 ; R$ 208,80 ;Variadas A;4,5; R$ 50,40 ; R$ 151,20 ; R$ 90,00 ; R$ 210,00 ;-90,00%; R$ 450,00 ; R$ 855,00 ;;;;;;;;;;;;;;;;;;;;;;;
111;Pulseira;Prata Artesanal;15; R$ 120,00 ; R$ 360,00 ;Quartzo Rutilho;50; R$ 420,00 ; R$ 840,00 ; R$ 90,00 ; R$ 630,00 ;35,00%; R$ 1.290,00 ; R$ 838,50 ;;;;;;;;;;;;;;;;;;;;;;;
112;Pulseira;Prata Artesanal;8,5; R$ 68,00 ; R$ 204,00 ;Variadas A;38; R$ 425,60 ; R$ 1.276,80 ; R$ 90,00 ; R$ 583,60 ;46,00%; R$ 1.570,80 ; R$ 848,23 ;;;;;;;;;;;;;;;;;;;;;;;
113;Pulseira;Prata Artesanal;7,5; R$ 60,00 ; R$ 180,00 ;Ametista B;7; R$ 39,20 ; R$ 133,28 ; R$ 90,00 ; R$ 189,20 ;-49,00%; R$ 403,28 ; R$ 600,89 ;;;;;;;;;;;;;;;;;;;;;;;
114;Pulseira;Prata Artesanal;7,8; R$ 62,40 ; R$ 187,20 ;Ametista B;12,5; R$ 70,00 ; R$ 238,00 ; R$ 90,00 ; R$ 222,40 ;-45,00%; R$ 515,20 ; R$ 747,04 ;;;;;;;;;;;;;;;;;;;;;;;
115;Pulseira;Prata Artesanal;12; R$ 96,00 ; R$ 288,00 ;Ionita;25; R$ 2.800,00 ; R$ 5.600,00 ; R$ 90,00 ; R$ 2.986,00 ;41,00%; R$ 5.978,00 ; R$ 3.527,02 ;;;;;;;;;;;;;;;;;;;;;;;
116;Pulseira;Prata Artesanal;13; R$ 104,00 ; R$ 312,00 ;Peridoto A;17; R$ 1.428,00 ; R$ 4.284,00 ; R$ 90,00 ; R$ 1.622,00 ;42,00%; R$ 4.686,00 ; R$ 2.717,88 ;;;;;;;;;;;;;;;;;;;;;;;
117;Pulseira;Prata Artesanal;14; R$ 112,00 ; R$ 336,00 ;turmalina verde C;15; R$ 672,00 ; R$ 2.016,00 ; R$ 90,00 ; R$ 874,00 ;-33,00%; R$ 2.442,00 ; R$ 3.247,86 ;;;;;;;;;;;;;;;;;;;;;;;
118;Pulseira;Prata Artesanal;14; R$ 112,00 ; R$ 336,00 ;Topazio Azul A;16; R$ 716,80 ; R$ 1.648,64 ; R$ 90,00 ; R$ 918,80 ;-47,00%; R$ 2.074,64 ; R$ 3.049,72 ;;;;;;;;;;;;;;;;;;;;;;;
119;Pingente;Prata Artesanal;3; R$ 24,00 ; R$ 72,00 ;Quartzo Druza;15; R$ 6,00 ; R$ 18,00 ; R$ 90,00 ; R$ 120,00 ;-11,00%; R$ 180,00 ; R$ 199,80 ;;;;;;;;;;;;;;;;;;;;;;;
120;Pulseira;Prata Artesanal;3; R$ 24,00 ; R$ 72,00 ;Perola;20; R$ 224,00 ; R$ 672,00 ; R$ 90,00 ; R$ 338,00 ;13,00%; R$ 834,00 ; R$ 725,58 ;;;;;;;;;;;;;;;;;;;;;;;
121;Anéis;Prata Industrial;6,8; R$ 102,00 ; R$ 306,00 ;turmalina verde C;7; R$ 313,60 ; R$ 940,80 ;; R$ 415,60 ;40,00%; R$ 1.246,80 ; R$ 748,08 ;;;;;;;;;;;;;;;;;;;;;;;
122;Anéis;Prata Industrial;12; R$ 180,00 ; R$ 540,00 ;Coral Fossil;60; R$ 60,00 ; R$ 240,00 ; R$ 90,00 ; R$ 330,00 ;; R$ 870,00 ; R$ 870,00 ;;;;;;;;;;;;;;;;;;;;;;;
123;Anéis;Prata Industrial;12; R$ 180,00 ; R$ 540,00 ;Jasper;70; R$ 39,20 ; R$ 156,80 ; R$ 90,00 ; R$ 309,20 ;; R$ 786,80 ; R$ 786,80 ;;;;;;;;;;;;;;;;;;;;;;;
124;Anéis;Prata Industrial;11; R$ 165,00 ; R$ 495,00 ;Agata Dendritica;30; R$ 33,60 ; R$ 134,40 ;; R$ 198,60 ;; R$ 629,40 ; R$ 629,40 ;;;;;;;;;;;;;;;;;;;;;;;
125;Anéis;Prata Industrial;7; R$ 105,00 ; R$ 315,00 ;Rodocrozita;15; R$ 42,00 ; R$ 126,00 ; R$ 90,00 ; R$ 237,00 ;; R$ 531,00 ; R$ 531,00 ;;;;;;;;;;;;;;;;;;;;;;;
126;Anéis;Prata Industrial;11; R$ 165,00 ; R$ 495,00 ;Rodocrozita;12; R$ 33,60 ; R$ 100,80 ; R$ 90,00 ; R$ 288,60 ;; R$ 685,80 ; R$ 685,80 ;;;;;;;;;;;;;;;;;;;;;;;
127;Anéis;Prata Industrial;15; R$ 225,00 ; R$ 675,00 ;Turmalina Verde D;15; R$ 420,00 ; R$ 840,00 ;; R$ 645,00 ;40,00%; R$ 1.515,00 ; R$ 909,00 ;;;;;;;;;;;;;;;;;;;;;;;
128;Anéis;Prata Industrial;7; R$ 105,00 ; R$ 315,00 ;Rubelita C;4; R$ 448,00 ; R$ 896,00 ;; R$ 553,00 ;40,00%; R$ 1.211,00 ; R$ 726,60 ;;;;;;;;;;;;;;;;;;;;;;;
129;Anéis;Prata Industrial;6; R$ 90,00 ; R$ 270,00 ;Rodocrozita;5; R$ 14,00 ; R$ 42,00 ; R$ 90,00 ; R$ 194,00 ;-30,00%; R$ 402,00 ; R$ 522,60 ;;;;;;;;;;;;;;;;;;;;;;;
130;Anéis;Prata Industrial;6; R$ 90,00 ; R$ 270,00 ;Quartzo Grafitado;12; R$ 67,20 ; R$ 134,40 ; R$ 90,00 ; R$ 247,20 ;-10,00%; R$ 494,40 ; R$ 543,84 ;;;;;;;;;;;;;;;;;;;;;;;
131;Anéis;Prata Industrial;7; R$ 105,00 ; R$ 315,00 ;Turmalia Melancia B;5; R$ 70,00 ; R$ 210,00 ; R$ 90,00 ; R$ 265,00 ;-25,00%; R$ 615,00 ; R$ 768,75 ;;;;;;;;;;;;;;;;;;;;;;;
132;Anéis;Prata Industrial;5; R$ 75,00 ; R$ 225,00 ;Agata Dendritica;3; R$ 3,36 ; R$ 13,44 ; R$ 90,00 ; R$ 168,36 ;-46,00%; R$ 328,44 ; R$ 479,52 ;;;;;;;;;;;;;;;;;;;;;;;
133;Anéis;Prata Industrial;8; R$ 120,00 ; R$ 360,00 ;Aqua Marina Bruta;15; R$ 15,00 ; R$ 60,00 ; R$ 90,00 ; R$ 225,00 ;-10,00%; R$ 510,00 ; R$ 561,00 ;;;;;;;;;;;;;;;;;;;;;;;
134;Anéis;Prata Industrial;8; R$ 120,00 ; R$ 360,00 ;turmalina verde C;6; R$ 268,80 ; R$ 806,40 ; R$ 90,00 ; R$ 478,80 ;10,00%; R$ 1.256,40 ; R$ 1.130,76 ;;;;;;;;;;;;;;;;;;;;;;;
135;Anéis;Prata Industrial;8; R$ 120,00 ; R$ 360,00 ;Rubelita D;15; R$ 420,00 ; R$ 840,00 ; R$ 90,00 ; R$ 630,00 ;35,00%; R$ 1.290,00 ; R$ 838,50 ;;;;;;;;;;;;;;;;;;;;;;;
136;Anéis;Prata Industrial;10; R$ 150,00 ; R$ 450,00 ;Turmalina Bicolor B;15; R$ 1.260,00 ; R$ 3.780,00 ; R$ 90,00 ; R$ 1.500,00 ;55,00%; R$ 4.320,00 ; R$ 1.944,00 ;;;;;;;;;;;;;;;;;;;;;;;
138;Anéis;Prata Industrial;7; R$ 105,00 ; R$ 315,00 ;Rubelita D;12; R$ 336,00 ; R$ 672,00 ; R$ 90,00 ; R$ 531,00 ;10,00%; R$ 1.077,00 ; R$ 969,30 ;;;;;;;;;;;;;;;;;;;;;;;
137;Anéis;Prata Industrial;4; R$ 60,00 ; R$ 180,00 ;Granada C;5; R$ 28,00 ; R$ 56,00 ; R$ 90,00 ; R$ 178,00 ;-30,00%; R$ 326,00 ; R$ 423,80 ;;vendido 11/06;;;;;;;;;;;;;;;;;;;;;
139;Anéis;Prata Industrial;5; R$ 75,00 ; R$ 225,00 ;Peridoto;5; R$ 84,00 ; R$ 252,00 ; R$ 90,00 ; R$ 249,00 ;20,00%; R$ 567,00 ; R$ 453,60 ;;;;;;;;;;;;;;;;;;;;;;;
140;Anéis;Prata Industrial;8; R$ 120,00 ; R$ 360,00 ;Turquesa;5; R$ 56,00 ; R$ 112,00 ; R$ 90,00 ; R$ 266,00 ;15,00%; R$ 562,00 ; R$ 477,70 ;;;;;;;;;;;;;;;;;;;;;;;
141;Anéis;Prata Industrial;8,5; R$ 127,50 ; R$ 382,50 ;Turmalina Verde D;5; R$ 140,00 ; R$ 280,00 ; R$ 90,00 ; R$ 357,50 ;; R$ 752,50 ; R$ 752,50 ;;;;;;;;;;;;;;;;;;;;;;;
142;Anéis;Prata Industrial;12; R$ 180,00 ; R$ 540,00 ;Turmalina Verde D;15; R$ 420,00 ; R$ 840,00 ; R$ 90,00 ; R$ 690,00 ;40,00%; R$ 1.470,00 ; R$ 882,00 ;;;;;;;;;;;;;;;;;;;;;;;
143;Anéis;Prata Industrial;7; R$ 105,00 ; R$ 315,00 ;Iolita;12; R$ 268,80 ; R$ 806,40 ; R$ 90,00 ; R$ 463,80 ;45,00%; R$ 1.211,40 ; R$ 666,27 ;;;;;;;;;;;;;;;;;;;;;;;
144;Anéis;Prata Industrial;9; R$ 135,00 ; R$ 405,00 ;Cristal;15; R$ 84,00 ; R$ 252,00 ; R$ 90,00 ; R$ 309,00 ;30,00%; R$ 747,00 ; R$ 522,90 ;;;;;;;;;;;;;;;;;;;;;;;
145;Anéis;Prata Industrial;8,5; R$ 127,50 ; R$ 382,50 ;Turmalina Verde D;12; R$ 336,00 ; R$ 672,00 ; R$ 90,00 ; R$ 553,50 ;35,00%; R$ 1.144,50 ; R$ 743,93 ;;;;;;;;;;;;;;;;;;;;;;;
146;Anéis;Prata Industrial;5; R$ 75,00 ; R$ 225,00 ;Turmalina Verde D;5; R$ 140,00 ; R$ 280,00 ; R$ 90,00 ; R$ 305,00 ;-13,00%; R$ 595,00 ; R$ 672,35 ;;;;;;;;;;;;;;;;;;;;;;;
147;Anéis;Prata Industrial;12; R$ 180,00 ; R$ 540,00 ;turmalina verde C;12; R$ 537,60 ; R$ 1.612,80 ; R$ 90,00 ; R$ 807,60 ;12,00%; R$ 2.242,80 ; R$ 1.973,66 ;;;;;;;;;;;;;;;;;;;;;;;
148;Anéis;Prata Industrial;4; R$ 60,00 ; R$ 180,00 ;crizoprasio;4; R$ 11,20 ; R$ 33,60 ; R$ 90,00 ; R$ 161,20 ;-20,00%; R$ 303,60 ; R$ 364,32 ;;;;;;;;;;;;;;;;;;;;;;;
149;Anéis;Prata Industrial;5,5; R$ 82,50 ; R$ 247,50 ;Rubelita D;3; R$ 84,00 ; R$ 168,00 ; R$ 90,00 ; R$ 256,50 ;10,00%; R$ 505,50 ; R$ 454,95 ;;;;;;;;;;;;;;;;;;;;;;;
150;Anéis;Prata Industrial;8; R$ 120,00 ; R$ 360,00 ;Turmalia Melancia B;12; R$ 168,00 ; R$ 504,00 ; R$ 90,00 ; R$ 378,00 ;10,00%; R$ 954,00 ; R$ 858,60 ;;;;;;;;;;;;;;;;;;;;;;;
151;Anéis;Prata Industrial;5,5; R$ 82,50 ; R$ 247,50 ;Turmalina Verde D;5; R$ 140,00 ; R$ 280,00 ; R$ 90,00 ; R$ 312,50 ;5,00%; R$ 617,50 ; R$ 586,63 ;;;;;;;;;;;;;;;;;;;;;;;
152;Anéis;Prata Industrial;8; R$ 120,00 ; R$ 360,00 ;Onix;15; R$ 16,80 ; R$ 84,00 ; R$ 90,00 ; R$ 226,80 ;10,00%; R$ 534,00 ; R$ 480,60 ;;;;;;;;;;;;;;;;;;;;;;;
153;Brincos;Prata S\Pedra;4; R$ 88,00 ; R$ 220,00 ;Zero;2; R$ -   ; R$ -   ;; R$ 88,00 ;; R$ 220,00 ; R$ 220,00 ;;;;;;;;;;;;;;;;;;;;;;;
154;Brincos;Prata S\Pedra;2; R$ 44,00 ; R$ 110,00 ;Zero;; R$ -   ; R$ -   ;; R$ 44,00 ;-30,00%; R$ 110,00 ; R$ 143,00 ;;;;;;;;;;;;;;;;;;;;;;;
155;Brincos;Prata S\Pedra;4,2; R$ 92,40 ; R$ 231,00 ;Zero;; R$ -   ; R$ -   ;; R$ 92,40 ;-25,00%; R$ 231,00 ; R$ 288,75 ;;;;;;;;;;;;;;;;;;;;;;;
156;Brincos;Prata S\Pedra;2; R$ 44,00 ; R$ 110,00 ;Zero;; R$ -   ; R$ -   ;; R$ 44,00 ;-25,00%; R$ 110,00 ; R$ 137,50 ;;;;;;;;;;;;;;;;;;;;;;;
157;Brincos;Prata S\Pedra;6,6; R$ 145,20 ; R$ 363,00 ;Zero;; R$ -   ; R$ -   ;; R$ 145,20 ;-20,00%; R$ 363,00 ; R$ 435,60 ;;;;;;;;;;;;;;;;;;;;;;;
158;Brincos;Prata S\Pedra;6,6; R$ 145,20 ; R$ 363,00 ;Zero;; R$ -   ; R$ -   ;; R$ 145,20 ;-25,00%; R$ 363,00 ; R$ 453,75 ;;;;;;;;;;;;;;;;;;;;;;;
159;Brincos;Prata S\Pedra;6,6; R$ 145,20 ; R$ 363,00 ;Zero;; R$ -   ; R$ -   ;; R$ 145,20 ;-25,00%; R$ 363,00 ; R$ 453,75 ;;;;;;;;;;;;;;;;;;;;;;;
160;Brincos;Prata S\Pedra;9,2; R$ 202,40 ; R$ 506,00 ;Zero;; R$ -   ; R$ -   ;; R$ 202,40 ;5,00%; R$ 506,00 ; R$ 480,70 ;;;;;;;;;;;;;;;;;;;;;;;
161;Brincos;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Ametista B;35; R$ 196,00 ; R$ 666,40 ;; R$ 236,00 ;; R$ 786,40 ; R$ 786,40 ;;;;;;;;;;;;;;;;;;;;;;;
162;Brincos;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Cristal;15; R$ 84,00 ; R$ 252,00 ;; R$ 140,00 ;-25,00%; R$ 420,00 ; R$ 525,00 ;;;;;;;;;;;;;;;;;;;;;;;
163;Brincos;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Cristal;15; R$ 84,00 ; R$ 252,00 ;; R$ 140,00 ;-25,00%; R$ 420,00 ; R$ 525,00 ;;;;;;;;;;;;;;;;;;;;;;;
164;Brincos;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Cristal;15; R$ 84,00 ; R$ 252,00 ;; R$ 132,00 ;-35,00%; R$ 396,00 ; R$ 534,60 ;;;;;;;;;;;;;;;;;;;;;;;
165;Brincos;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Cristal;18; R$ 100,80 ; R$ 302,40 ;; R$ 156,80 ;-25,00%; R$ 470,40 ; R$ 588,00 ;;;;;;;;;;;;;;;;;;;;;;;
166;Brincos;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Cristal;18; R$ 100,80 ; R$ 302,40 ;; R$ 148,80 ;-25,00%; R$ 446,40 ; R$ 558,00 ;;;;;;;;;;;;;;;;;;;;;;;
167;Brincos;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Opalina;12; R$ 33,60 ; R$ 201,60 ;; R$ 81,60 ;-65,00%; R$ 345,60 ; R$ 570,24 ;;;;;;;;;;;;;;;;;;;;;;;
168;Brincos;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Lodolita;40; R$ 44,80 ; R$ 179,20 ;; R$ 108,80 ;-80,00%; R$ 371,20 ; R$ 668,16 ;;;;;;;;;;;;;;;;;;;;;;;
169;Brincos;Prata Artesanal;10; R$ 80,00 ; R$ 240,00 ;Quartzo Fume;20; R$ 22,40 ; R$ 89,60 ;; R$ 102,40 ;-80,00%; R$ 329,60 ; R$ 593,28 ;;;;;;;;;;;;;;;;;;;;;;;
170;Brincos;Prata Artesanal;3; R$ 24,00 ; R$ 72,00 ;Onix;3; R$ 3,36 ; R$ 16,80 ;; R$ 27,36 ;-300,00%; R$ 88,80 ; R$ 355,20 ;;;;;;;;;;;;;;;;;;;;;;;
171;Brincos;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Onix;25; R$ 28,00 ; R$ 140,00 ;; R$ 84,00 ;-110,00%; R$ 308,00 ; R$ 646,80 ;;;;;;;;;;;;;;;;;;;;;;;
172;Brincos;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Mozaico de Opala;10; R$ 140,00 ; R$ 420,00 ;; R$ 188,00 ;-15,00%; R$ 564,00 ; R$ 648,60 ;;;;;;;;;;;;;;;;;;;;;;;
173;Brincos;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Mozaico de Opala;12; R$ 168,00 ; R$ 504,00 ;; R$ 224,00 ;0,00%; R$ 672,00 ; R$ 672,00 ;;;;;;;;;;;;;;;;;;;;;;;
174;Brincos;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Labradorita;25; R$ 70,00 ; R$ 252,00 ;; R$ 110,00 ;-85,00%; R$ 372,00 ; R$ 688,20 ;;;;;;;;;;;;;;;;;;;;;;;
175;Brincos;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Labradorita;25; R$ 70,00 ; R$ 252,00 ;; R$ 110,00 ;-85,00%; R$ 372,00 ; R$ 688,20 ;;;;;;;;;;;;;;;;;;;;;;;
176;Colar;Prata Artesanal;3; R$ 24,00 ; R$ 72,00 ;Onix;4; R$ 4,48 ; R$ 22,40 ; R$ 90,00 ; R$ 118,48 ;-95,00%; R$ 184,40 ; R$ 359,58 ;;;;;;;;;;;;;;;;;;;;;;;
177;Anéis;Prata Artesanal;6; R$ 48,00 ; R$ 144,00 ;Coral Fossil;3; R$ 3,00 ; R$ 12,00 ; R$ 90,00 ; R$ 141,00 ;-50,00%; R$ 246,00 ; R$ 369,00 ;;;;;;;;;;;;;;;;;;;;;;;
178;Anéis;Prata Artesanal;15; R$ 120,00 ; R$ 360,00 ;Coral Fossil;5; R$ 5,00 ; R$ 20,00 ; R$ 90,00 ; R$ 215,00 ;-25,00%; R$ 470,00 ; R$ 587,50 ;;;;;;;;;;;;;;;;;;;;;;;
179;Anéis;Prata Artesanal;8,2; R$ 65,60 ; R$ 196,80 ;Coral Fossil;3; R$ 3,00 ; R$ 12,00 ; R$ 90,00 ; R$ 158,60 ;-30,00%; R$ 298,80 ; R$ 388,44 ;;;;;;;;;;;;;;;;;;;;;;;
180;Anéis;Prata Artesanal;11,5; R$ 92,00 ; R$ 276,00 ;Quartzo Bicolor;19; R$ 106,40 ; R$ 212,80 ; R$ 90,00 ; R$ 288,40 ;10,00%; R$ 578,80 ; R$ 520,92 ;;;;;;;;;;;;;;;;;;;;;;;
181;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Quartzo Bicolor;19; R$ 106,40 ; R$ 212,80 ; R$ 90,00 ; R$ 260,40 ;; R$ 494,80 ; R$ 494,80 ;;;;;;;;;;;;;;;;;;;;;;;
182;Anéis;Prata Artesanal;9; R$ 72,00 ; R$ 216,00 ;Quartzo Bicolor;15; R$ 84,00 ; R$ 168,00 ; R$ 90,00 ; R$ 246,00 ;; R$ 474,00 ; R$ 474,00 ;;;;;;;;;;;;;;;;;;;;;;;
183;Anéis;Prata Artesanal;2,4; R$ 19,20 ; R$ 57,60 ;Aqua Marinha C;1; R$ 168,00 ; R$ 285,60 ; R$ 90,00 ; R$ 277,20 ;-20,00%; R$ 433,20 ; R$ 519,84 ;;;;;;;;;;;;;;;;;;;;;;;
184;Anéis;Prata Artesanal;2; R$ 16,00 ; R$ 48,00 ;Aqua Marinha C;1; R$ 168,00 ; R$ 285,60 ; R$ 90,00 ; R$ 274,00 ;; R$ 423,60 ; R$ 423,60 ;;;;;;;;;;;;;;;;;;;;;;;
185;Anéis;Prata Artesanal;2,5; R$ 20,00 ; R$ 60,00 ;Aqua Marinha C;1; R$ 168,00 ; R$ 285,60 ; R$ 90,00 ; R$ 278,00 ;-5,00%; R$ 435,60 ; R$ 457,38 ;;;;;;;;;;;;;;;;;;;;;;;
186;Anéis;Prata Artesanal;2,5; R$ 20,00 ; R$ 60,00 ;Aqua Marinha C;1; R$ 168,00 ; R$ 285,60 ; R$ 90,00 ; R$ 278,00 ;-5,00%; R$ 435,60 ; R$ 457,38 ;;;;;;;;;;;;;;;;;;;;;;;
187;Anéis;Prata Artesanal;2,5; R$ 20,00 ; R$ 60,00 ;Aqua Marinha C;0,7; R$ 117,60 ; R$ 199,92 ; R$ 90,00 ; R$ 227,60 ;-10,00%; R$ 349,92 ; R$ 384,91 ;;;;;;;;;;;;;;;;;;;;;;;
188;Anéis;Prata Artesanal;1,5; R$ 12,00 ; R$ 36,00 ;Aqua Marinha C;0,2; R$ 33,60 ; R$ 57,12 ; R$ 90,00 ; R$ 135,60 ;-60,00%; R$ 183,12 ; R$ 292,99 ;;;;;;;;;;;;;;;;;;;;;;;
189;Anéis;Prata Artesanal;1,5; R$ 12,00 ; R$ 36,00 ;Aqua Marinha C;0,2; R$ 33,60 ; R$ 57,12 ; R$ 90,00 ; R$ 135,60 ;-50,00%; R$ 183,12 ; R$ 274,68 ;;;;;;;;;;;;;;;;;;;;;;;
190;Anéis;Prata Artesanal;1,5; R$ 12,00 ; R$ 36,00 ;Aqua Marinha C;0,7; R$ 117,60 ; R$ 199,92 ; R$ 90,00 ; R$ 219,60 ;-25,00%; R$ 325,92 ; R$ 407,40 ;;;;;;;;;;;;;;;;;;;;;;;
191;Anéis;Prata Artesanal;1,7; R$ 13,60 ; R$ 40,80 ;Aqua Marinha C;1; R$ 168,00 ; R$ 285,60 ; R$ 90,00 ; R$ 271,60 ;-20,00%; R$ 416,40 ; R$ 499,68 ;;;;;;;;;;;;;;;;;;;;;;;
192;Anéis;Prata Artesanal;1,5; R$ 12,00 ; R$ 36,00 ;Aqua Marinha C;1; R$ 168,00 ; R$ 285,60 ; R$ 90,00 ; R$ 270,00 ;-40,00%; R$ 411,60 ; R$ 576,24 ;;;;;;;;;;;;;;;;;;;;;;;
193;Anéis;Prata Artesanal;2; R$ 16,00 ; R$ 48,00 ;Aqua Marinha C;0,5; R$ 84,00 ; R$ 142,80 ; R$ 90,00 ; R$ 190,00 ;-40,00%; R$ 280,80 ; R$ 393,12 ;;;;;;;;;;;;;;;;;;;;;;;
194;Anéis;Prata Artesanal;1,7; R$ 13,60 ; R$ 40,80 ;Aqua Marinha D;1; R$ 56,00 ; R$ 112,00 ; R$ 90,00 ; R$ 159,60 ;-80,00%; R$ 242,80 ; R$ 437,04 ;;;;;;;;;;;;;;;;;;;;;;;
